"回避"	"recusal"
"回证"	"Proof of Service"
"应诉通知书"	"Notice to Defend Lawsuit"
"起诉状"	"Complaint"
"举证通知书"	"Notice to Produce Evidence"
"诉讼权利义务告知书"	"Notice of Litigation Rights and Obligations"
"廉政监督卡"	"Form for Anticorruption Supervision"
"传票"	"Summon"
"民事判决书"	"Civil Judgment"
"民事调解书"	"Civil Mediation"
"民事裁定书"	"Civil Ruling"
"执行裁定书"	"Ruling for Enforcement"
"仲裁裁决书"	"Arbitral Award (or Arbitration Award)"
"执行申请人"	"Applicant"
"被执行人"	"Respondent"
"执行"	"Enforcement"
"安全"	"security"
"按照"	"as per"
"案件性质"	"nature of the case"
"案外人"	"party not involved in the case"
"案由"	"cause of action"
"办事机构"	"office"
"保全和先予执行"	"Preservation and Preliminary Execution"
"保全手续"	"preservation formalities"
"保险理赔费"	"insurance compensation"
"保证人"	"guarantor"
"保证书"	"guarantee"
"背书人"	"endorser"
"背书转让"	"transferable by endorsement"
"被保全人"	"the person against whom the preservation is adopted"
"被担保的债权"	"secured claims"
"被告"	"defendant"
"被告住所地"	"domicile of the infringed person"
"被挂靠人"	"affiliated entity"
"被监禁"	"imprisoned"
"被拘传人"	"party summoned to court by warrant"
"被调查人"	"persons under investigation"
"被执行人"	"person subject to enforcement"
"被执行人"	"Respondent / enforcee"
"笔录"	"record"
"变更"	"Alteration/ modification"
"变更"	"change"
"变更公司登记"	"registered item of a company"
"变更债务清偿方式"	"change in debt repayment method"
"变价财产"	"sale of deposit"
"辩护人"	"defender"
"辩论权利"	"right to argue"
"辩论权利"	"rights to argue"
"标的物所在地"	"place where the subject matter is located"
"剥夺"	"deny"
"驳回"	"Overrule/dismiss"
"驳回申请"	"reject declaration"
"补正"	"rectification"
"不成立"	"untenable"
"不动产"	"immovable property"
"不动产登记簿"	"immovable property register"
"不服"	"dissatisfied"
"不服指定"	"dissatisfied with the designation"
"不可抗拒的事由"	"an event of force majeure"
"不完备"	"incomplete"
"不予受理"	"rejects lawsuits"
"财产保全的方法和措施"	"the property preservation measure"
"财产保险合同"	"property insurance contract"
"财产报告制度"	"property reporting system"
"财产被留置的所有权人"	"owners whose property is created with lien"
"财产被留置的债务人"	"debtors whose property is created with lien"
"财产代管人"	"administrator for the property"
"财产分割"	"division of domestic property"
"财产纠纷"	"property dispute"
"财产情况"	"circumstance relating to the assets"
"财产权益纠纷"	"dispute over rights and interests in property"
"财产权证照"	"property right certificate"
"财产权证照"	"title deed"
"财产确权"	"verification of property rights"
"财产损害"	"property damage"
"财产无主"	"determination of property as ownerless"
"财产所在地"	"place where property is located"
"财产租赁合同"	"contract for property leasing"
"裁定"	"ruling"
"裁定撤销"	"quash rulings"
"裁定改正"	"amend rulings"
"裁定遗漏"	"ruling omitting"
"裁定中止执行"	"suspend the execution of the ruling"
"裁定终结"	"issue rulings to terminate"
"裁定终结"	"automatically become null and void"
"裁定终结"	"rules to conclude"
"采取保全"	"preservation"
"仓单"	"warehouse warrant"
"查封"	"seizure"
"查封"	"sealed up"
"查封"	"attachment"
"查阅调取"	"consult or take possession"
"产品销售地"	"the place where the products are sold"
"产品制造地"	"products are manufactured"
"车船执照"	"vehicle and vessel license"
"撤回"	"Revoke/withdraw"
"撤诉"	"case nol pros/ withdraw the action"
"撤销"	"revoke"
"诚实信用原则"	"principle of good faith"
"承包经营"	"contractual operation"
"迟延履行"	"delay of performance"
"迟延履行金"	"fine for deferred performance"
"迟延履行期间"	"period during which the performance is deferred"
"持票人"	"holder"
"冲击法庭"	"courtroom disturbance"
"充分有效担保"	"full and effective guarantee"
"出票人"	"drawer"
"出示"	"exhibit"
"出质人"	"pledger"
"初步证据"	"preliminary evidence"
"处分"	"dispose"
"传票"	"summon"
"传票"	"Summon"
"从其约定"	"such agreement shall prevail"
"村民委员会"	"villagers' committee"
"答辩"	"respond"
"答辩状"	"statement of defence"
"代表机构"	"representative office"
"代理权"	"authority of agency"
"代理人"	"principal"
"代履行"	"performance of the obligation on behalf of a party"
"代为执行"	"entrust execution"
"待证事实"	"fact to be proved"
"待证事实真伪不明"	"fact to be provided is unclear"
"担保"	"security"
"担保财产"	"secured property"
"担保合同"	"guarantee contract"
"担保物权"	"real rights for security"
"担保物权人"	"owner of real rights for security"
"单位负责人"	"person in charge of the entity"
"当事人"	"Party/party concerned"
"当事人的陈述"	"statements of the parties"
"到期债权"	"mature claims of property"
"抵押登记证明"	"mortgage registration certification"
"抵押权人"	"mortgagee"
"抵押人"	"mortgager"
"抵押物"	"mortgage"
"地域管辖"	"territorial jurisdictions"
"第二审"	"second instance"
"第二审程序"	"Procedure at Second Instance"
"第二审人民法院"	"the people's court of second instance"
"第三人撤销之诉"	"Lawsuit of a Third Party for Revocation"
"第三人撤销之诉"	"a third party filed for revocation"
"第一审"	"first instance"
"第一审普通程序"	"Ordinary Procedure at First Instance"
"第一审人民法院"	"the people's court of first instance"
"缔结"	"accede"
"电子数据"	"electronic data"
"定居"	"reside/ settle"
"定期宣判"	"pronounces the judgment or ruling at a fixed time"
"动产"	"movable property"
"冻结"	"freeze"
"督促程序"	"procedure for the recovery of debts"
"独立请求权"	"independent claim"
"独立请求权"	"independent claim"
"对待给付义务"	"obligations to quid pro quo"
"对等原则"	"principal of reciprocity"
"对妨害民事诉讼的强制措施"	"Compulsory Measures against Obstruction of Civil Actions"
"恶意串通"	"malicious collusion"
"发回重审"	"remanded for retrial"
"发票人"	"drawer"
"法定代表人"	"legal representative"
"法定代理人"	"statutory agent"
"法定期间"	"statutory term"
"法定期间"	"statutory time limit"
"法律监督"	"legal supervision"
"法律效力"	"…taken effect"
"法人"	"legal person"
"法庭纪律"	"discipline of the court"
"翻译人员"	"interpreter"
"反诉"	"counterclaim"
"妨害行为"	"nuisance"
"房产证"	"real estate licences"
"房屋租赁合同"	"house lease contract"
"放弃"	"relinquish/ withdrawal"
"非上市公司"	"non-listed company"
"非讼程序"	"non-contentious procedure"
"分配方案"	"distribution plan"
"分配利润"	"profit distribution"
"夫妻共同财产"	"matrimonial community property"
"扶养"	"maintenance"
"扶养费"	"maintenance"
"扶养费案件"	"claims for support payment"
"服务提供地"	"the place where the services are provided"
"抚恤金"	"pensions for the disabled or the family of the deceased"
"抚育"	"upbringing"
"抚育费"	"upbringing payment"
"抚育费"	"child support"
"复议"	"review"
"改判"	"overturn"
"盖章"	"seal"
"格式条款"	"standard terms"
"个人独资企业"	"sole proprietorship"
"个人合伙"	"partnership of individuals"
"个人隐私"	"individual privacy"
"给付货币"	"payment of money"
"给付金钱"	"payment of money"
"给付金钱义务"	"obligation to pay"
